dataset,num_samples,total_time,total_runtime,job_id,model_id,wer,rtfx,total_audio_length
google_chilean_spanish,4374,169.16428009035442,72.870062367,Transformers_2025-10-26_23-22-40,openai/whisper-large-v3-turbo,2.86,152.15,25737.9899375
datarisas,50,1.9580847612551107,72.870062367,Transformers_2025-10-26_23-22-40,openai/whisper-large-v3-turbo,17.07,190.83,373.662875
common_voice,152,5.849061822395057,72.870062367,Transformers_2025-10-26_23-22-40,openai/whisper-large-v3-turbo,4.94,151.65,887.004
datarisas,50,29.12175529364519,376.658109154,ElevenLabs_2025-10-26_23-47-14,elevenlabs/scribe_v1,16.4,12.83,373.662875
google_chilean_spanish,4374,2460.3554988628057,376.658109154,ElevenLabs_2025-10-26_23-47-14,elevenlabs/scribe_v1,3.3,10.46,25737.9899375
common_voice,152,84.19953364344755,376.658109154,ElevenLabs_2025-10-26_23-47-14,elevenlabs/scribe_v1,2.21,10.53,887.004
datarisas,50,2.8973398348924038,71.440938334,Transformers_2025-10-27_00-23-30,openai/whisper-large-v3,16.53,128.97,373.662875
google_chilean_spanish,4374,252.6714496900961,71.440938334,Transformers_2025-10-27_00-23-30,openai/whisper-large-v3,4.6,101.86,25737.9899375
common_voice,152,8.742226805006748,71.440938334,Transformers_2025-10-27_00-23-30,openai/whisper-large-v3,3.64,101.46,887.004
datarisas,50,0.24104375075209022,39.020745296,NeMo_2025-10-27_00-26-07,nvidia/parakeet-tdt-0.6b-v3,16.4,1550.19,373.662875
google_chilean_spanish,4374,21.062983242975022,39.020745296,NeMo_2025-10-27_00-26-07,nvidia/parakeet-tdt-0.6b-v3,4.44,1221.95,25737.9899375
common_voice,152,0.721991695274016,39.020745296,NeMo_2025-10-27_00-26-07,nvidia/parakeet-tdt-0.6b-v3,2.86,1228.55,887.004
google_chilean_spanish,4374,38.13183395634415,66.793817482,NeMo_2025-10-27_00-27-29,nvidia/canary-1b-v2,4.95,674.97,25737.9899375
datarisas,50,0.4448383559679799,66.793817482,NeMo_2025-10-27_00-27-29,nvidia/canary-1b-v2,20.93,840.0,373.662875
common_voice,152,1.3294066856862687,66.793817482,NeMo_2025-10-27_00-27-29,nvidia/canary-1b-v2,3.58,667.22,887.004
google_chilean_spanish,4374,1046.1813324201853,136.537279006,Voxtral_2025-10-27_00-29-28,mistralai/Voxtral-Mini-3B-2507,4.65,24.6,25737.9899375
datarisas,50,12.073279585432461,136.537279006,Voxtral_2025-10-27_00-29-28,mistralai/Voxtral-Mini-3B-2507,16.8,30.95,373.662875
common_voice,152,36.39141853038421,136.537279006,Voxtral_2025-10-27_00-29-28,mistralai/Voxtral-Mini-3B-2507,3.58,24.37,887.004
datarisas,50,37.41451234264182,487.718295923,Phi4Multimodal_2025-10-27_00-32-26,microsoft/Phi-4-multimodal-instruct,20.67,9.99,373.662875
google_chilean_spanish,4374,3188.2717377215713,487.718295923,Phi4Multimodal_2025-10-27_00-32-26,microsoft/Phi-4-multimodal-instruct,4.44,8.07,25737.9899375
common_voice,152,110.95904769604698,487.718295923,Phi4Multimodal_2025-10-27_00-32-26,microsoft/Phi-4-multimodal-instruct,3.25,7.99,887.004
